ID,漢字,假名,詞性,中文意思,例句
v1,輸出,ゆしゅつ,名詞 / する動詞,出口商品,"商品（ショウヒン）を輸出（ユシュツ）します。"
v2,返事,へんじ,名詞 / する動詞,回信、回覆,"メールの返事（ヘンジ）を待（マ）ちます。"
v3,赤ん坊,あかんぼう,名詞,嬰兒,"赤（アカ）ん坊（ボウ）が生（ウ）まれました。"
v4,細かい,こまかい,い形容詞,詳細的、零碎的,"細（コマ）かい説明（セツメイ）を聞（キ）きます。"
v5,経験,けいけん,名詞 / する動詞,經驗,"まだ経験（ケイケン）が浅（アサ）いです。"
v6,育てる,そだてる,動詞 (第二類),養育、撫養,"子（コ）どもを育（ソダ）てます。"
v7,発音,はつおん,名詞 / する動詞,發音,"発音（ハツオン）がきれい（キレイ）です。"
v8,準備,じゅんび,名詞 / する動詞,準備,"資料（シリョウ）を準備（ジュンビ）します。"
v9,世話,せわ,名詞 / する動詞,照顧、關照,"お世話（セワ）になりました。"
v10,遠慮,えんりょ,名詞 / する動詞,客氣、顧忌,"ご遠慮（エンリョ）ください。"
v11,表,おもて,名詞,表面、正面,"店（ミセ）の表（オモテ）に出（デ）ます。"
v12,裏,うら,名詞,背面、反面,"紙（カミ）の裏（ウラ）を見（ミ）ます。"
v13,奥,おく,名詞,內部、深處,"部屋（ヘヤ）の奥（オク）に置（オ）きます。"
v14,外,そと,名詞,外面、室外,"外（ソト）で遊（アソ）びます。"
v15,輸入,ゆにゅう,名詞 / する動詞,進口,"石油（セキユ）を輸入（ユニュウ）します。"
v16,輸送,ゆそう,名詞 / する動詞,運輸,"トラックで輸送（ユソウ）します。"
v17,輸血,ゆけつ,名詞 / する動詞,輸血,"病院（ビョウイン）で輸血（ユケツ）します。"
v18,用事,ようじ,名詞,事情、差事,"急（イソ）な用事（ヨウジ）があります。"
v19,家事,かじ,名詞,家務事,"家事（カジ）を手伝（テツダ）います。"
v20,手紙,てがみ,名詞,信件,"手紙（テガミ）を出（ダ）します。"
v21,騒ぐ,さわぐ,動詞 (第一類),喧鬧、吵鬧,"大声（オオゴエ）で騒（サワ）ぎます。"
v22,怒鳴る,どなる,動詞 (第一類),大聲斥責,"部下（ブカ）を怒鳴（ドナ）ります。"
v23,沸く,わく,動詞 (第一類),沸騰、熱鬧,"お湯（ユ）が沸（ワ）きました。"
v24,叫ぶ,さけぶ,動詞 (第一類),大聲呼喊,"助（タス）けを叫（サケ）びます。"
v25,洗う,あらう,動詞 (第一類),清洗,"手（テ）を洗（アラ）います。"
v26,食事,しょくじ,名詞 / する動詞,進餐、用餐,"食事（ショクジ）を楽（タノ）しみます。"
v27,塗る,ぬる,動詞 (第一類),塗抹、塗油漆,"薬（クスリ）を塗（ヌ）ります。"
v28,取る,とる,動詞 (第一類),拿取、取得,"切符（キップ）を取（ト）ります。"
v29,折る,おる,動詞 (第一類),折疊、折斷,"枝（エダ）を折（オ）ります。"
v30,借りる,かりる,動詞 (第二類),向人借入,"本（ホン）を借（カ）ります。"
v31,細い,ほそい,い形容詞,細長的、纖細的,"細（ホソ）い道（ミチ）を行（イ）きます。"
v32,狭い,せまい,い形容詞,狹窄的,"狭（セマ）い部屋（ヘヤ）に住（ス）みます。"
v33,小さい,ちいさい,い形容詞,微小的,"声（コエ）が小（チイ）さいです。"
v34,台所,だいどころ,名詞,廚房,"台所（ダイドコロ）を掃除（ソウジ）します。"
v35,食堂,しょくどう,名詞,餐廳、食堂,"学生（ガクセイ）食堂（ショクドウ）へ行（イ）きます。"
v36,居間,いま,名詞,起居室、客廳,"居間（イマ）に集（アツ）まります。"
v37,飛ぶ,とぶ,動詞 (第一類),飛行、飛翔,"鳥（トリ）が飛（ト）びます。"
v38,お土産,おみやげ,名詞,伴手禮、特產,"お土産（ミヤゲ）を買（カ）いました。"
v39,土地,とち,名詞,土地,"土地（トチ）の値段（ネダン）が上（ア）がります。"
v40,生産,せいさん,名詞 / する動詞,生產、製造,"製品（セイヒン）を生産（セイサン）します。"
v41,出産,しゅっさん,名詞 / する動詞,分娩、生產,"病院（ビョウイン）で出産（シュッサン）します。"
v42,産業,さんぎょう,名詞,產業,"新（アタラ）しい産業（サンギョウ）が興（オ）こります。"
